MAL_ID,Name,Score
13659,Ore no Imouto ga Konnani Kawaii Wake ga Nai.,7
,,
18857,Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,5
,,
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,4
,,
38483,Ore wo Suki nano wa Omae dake ka yo,5
,,
35484,Osake wa Fuufu ni Natte kara,4
,,
43007,Osananajimi ga Zettai ni Makenai Love Comedy,4
,,
38555,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,8
,,
42282,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,8
,,
34262,Oushitsu Kyoushi Heine,7
,,
29803,Overlord,6
,,
35073,Overlord II,6
,,
31181,Owarimonogatari,6
,,
35247,Owarimonogatari 2nd Season,7
,,
8795,Panty & Stocking with Garterbelt,8
,,
11179,Papa no Iukoto wo Kikinasai!,8
,,
27775,Plastic Memories,0
,,
10711,Plastic Neesan,6
,,
31240,Re:Zero kara Hajimeru Isekai Seikatsu,6
,,
38414,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,6
,,
36286,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,6
,,
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8
,,
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,7
,,
30015,ReLIFE,8
,,
35466,ReLIFE: Kanketsu-hen,9
,,
51403,Renai Flops,7
,,
32951,Rokudenashi Majutsu Koushi to Akashic Records,7
,,
35905,Ryuuou no Oshigoto!,5
,,
23277,Saenai Heroine no Sodatekata,2
,,
33255,Saiki Kusuo no Ψ-nan,7
,,
34612,Saiki Kusuo no Ψ-nan 2,7
,,
40542,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,5
,,
38249,Saiki Kusuo no Ψ-nan: Kanketsu-hen,6
,,
15775,Saint☆Oniisan,7
,,
15771,Saint☆Oniisan (Movie),7
,,
32542,Sakamoto desu ga?,6
,,
5671,Saki,9
,,
10884,Saki Achiga-hen: Episode of Side-A,5
,,
27709,Saki Biyori Animation,5
,,
16123,Saki Zenkoku-hen,8
,,
13759,Sakura-sou no Pet na Kanojo,9
,,
35994,Satsuriku no Tenshi,8
,,
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,7
,,
2476,School Days,6
,,
756,School Days ONA,5
,,
3328,School Days: Magical Heart Kokoro-chan,3
,,
3759,School Days: Valentine Days,3
,,
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,10
,,
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,9
,,
8675,Seitokai Yakuindomo,7
,,
34504,Seitokai Yakuindomo Movie,7
,,
40814,Seitokai Yakuindomo Movie 2,7
,,
10119,Seitokai Yakuindomo OVA,6
,,
20847,Seitokai Yakuindomo*,8
,,
26123,Seitokai Yakuindomo* OVA,6
,,
199,Sen to Chihiro no Kamikakushi,3
,,
42351,Senpai ga Uzai Kouhai no Hanashi,7
,,
38787,Senryuu Shoujo,7
,,
18119,Servant x Service,6
,,
38759,Sewayaki Kitsune no Senko-san,7
,,
23273,Shigatsu wa Kimi no Uso,7
,,
29786,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,7
,,
38659,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,6
,,
35838,Shoujo Shuumatsu Ryokou,8
,,
32175,Shounen Maid,6
,,
33502,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,7
,,
40586,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",6
,,
35540,Slow Start,7
,,
48736,Sono Bisque Doll wa Koi wo Suru,7
,,
39569,Sora no Aosa wo Shiru Hito yo,8
,,
5958,Sora no Otoshimono,5
,,
12783,Sora no Otoshimono Final: Eternal My Master,5
,,
8407,Sora no Otoshimono Forte,4
,,
7858,Sora no Otoshimono: Project Pink,4
,,
9790,Sora no Otoshimono: Tokeijikake no Angeloid,7
,,
